date,documents,total_tokens,expression,colonne_flourish,regex,occurrences,freq_ppm
1883,2,295131,tabès dorsalis spasmodique,tabes_dorsalis_spasmodique,Tab[eè]s dorsal(is)? spasmodique(s)?,2,6.776652
1883,2,295131,thrombose de l'artère cérébrale postérieure,thrombose_de_l_artere_cerebrale_posterieure,"Thrombose\s+(?:de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale(?:\s+post(?:é|e)rieure)?|de\s+la\s+c(?:é|e)rébrale\s+post(?:é|e)rieure|(?:[\wÀ-ÖØ-öø-ÿ]+(?:[-’'][\wÀ-ÖØ-öø-ÿ]+)?\s+){1,6}de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale\s+post(?:é|e)rieure)",0,0.0
1883,2,295131,tic convulsif,tic_convulsif,Tic(s)? convulsif(s)?,0,0.0
1883,2,295131,tremblement,tremblement,Tremblement(s)?,55,186.357922
1884,2,271068,épilepsie,epilepsie,[EÉ]pilepsie(s)?,237,874.319359
1884,2,271068,anévrisme miliaire,anevrisme_miliaire,An[ée]vr[yi]sme(s)? miliaire(s)?,0,0.0
1884,2,271068,aphasie,aphasie,Aphasie(s)?,118,435.315124
1884,2,271068,arthropathie tabétique,arthropathie_tabetique,Arthropathie(s)? tabétique(s)?,2,7.378222
1884,2,271068,astasie-abasie,astasie_abasie,Astasie(s)?-abasie(s)?,0,0.0
1884,2,271068,ataxie locomotrice progressive,ataxie_locomotrice_progressive,Ataxie(s)? locomotrice(s)? progressive(s)?,4,14.756445
1884,2,271068,athétose,athetose,Athétose(s)?,6,22.134667
1884,2,271068,atrophie musculaire progressive,atrophie_musculaire_progressive,Atrophie(s)? musculaire(s)? progressive(s)?,6,22.134667
1884,2,271068,bulbe rachidien,bulbe_rachidien,Bulbe(s)? rachidien(s)?,2,7.378222
1884,2,271068,chorée,choree,Chorée(s)?,31,114.362448
1884,2,271068,clonus,clonus,Clonus,0,0.0
1884,2,271068,coupe verticale,coupe_verticale,Coupe(s)? verticale(s)?,7,25.823779
1884,2,271068,fugue,fugue,Fugue(s)?,1,3.689111
1884,2,271068,glossy skin,glossy_skin,Glossy skin(s)?,0,0.0
1884,2,271068,hypnose,hypnose,Hypnose(s)?,2,7.378222
1884,2,271068,hystérie,hysterie,Hystérie(s)?,132,486.962681
1884,2,271068,localisation cérébrale,localisation_cerebrale,Localisation(s)? cérébrale(s)?,22,81.160447
1884,2,271068,maladie de Parkinson,maladie_de_parkinson,Maladie(s)?( de)? Parkinson,5,18.445556
1884,2,271068,maladie de Gilles de la Tourette,maladie_de_gilles_de_la_tourette,Maladie(s)?( de)?( Gilles de la)? Tourette,0,0.0
1884,2,271068,méthode anatomo-clinique,methode_anatomo_clinique,Méthode(s)? anatomo-clinique(s)?,1,3.689111
1884,2,271068,migraine ophtalmique,migraine_ophtalmique,Migraine(s)? ophtalmique(s)?,0,0.0
1884,2,271068,pachyméningite cervicale hypertrophique,pachymeningite_cervicale_hypertrophique,Pachym[eé]ningite(s)? cervicale(s)? hypertrophique(s)?,0,0.0
1884,2,271068,paralysie agitante,paralysie_agitante,Paralysi[es] agitan(te|s),7,25.823779
1884,2,271068,sclérose en plaques disséminées,sclerose_en_plaques_disseminees,Sclérose(s)? en plaque(s)? disséminées(s)?,1,3.689111
1884,2,271068,sclérose latérale amyotrophique,sclerose_laterale_amyotrophique,Sclérose(s)? latérale(s)? amyotrophique(s)?,9,33.202001
1884,2,271068,syndrome de Parkinson,syndrome_de_parkinson,Syndrome(s)?( de)? Parkinson,0,0.0
1884,2,271068,syndrome de Gilles de la Tourette,syndrome_de_gilles_de_la_tourette,Syndrome(s)?( de)?( Gilles de la)? Tourette,0,0.0
1884,2,271068,systématisation de la moelle,systematisation_de_la_moelle,"Syst[ée]matisation(?:\s+[\wÀ-ÖØ-öø-ÿ'-]+){0,10}\s+mo[ëeèê]lle",0,0.0
1884,2,271068,tabès dorsalis,tabes_dorsalis,Tab[eè]s dorsal(is)?,13,47.958446
1884,2,271068,tabès dorsalis spasmodique,tabes_dorsalis_spasmodique,Tab[eè]s dorsal(is)? spasmodique(s)?,1,3.689111
1884,2,271068,thrombose de l'artère cérébrale postérieure,thrombose_de_l_artere_cerebrale_posterieure,"Thrombose\s+(?:de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale(?:\s+post(?:é|e)rieure)?|de\s+la\s+c(?:é|e)rébrale\s+post(?:é|e)rieure|(?:[\wÀ-ÖØ-öø-ÿ]+(?:[-’'][\wÀ-ÖØ-öø-ÿ]+)?\s+){1,6}de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale\s+post(?:é|e)rieure)",0,0.0
1884,2,271068,tic convulsif,tic_convulsif,Tic(s)? convulsif(s)?,1,3.689111
1884,2,271068,tremblement,tremblement,Tremblement(s)?,34,125.429781
1885,2,296763,épilepsie,epilepsie,[EÉ]pilepsie(s)?,191,643.611232
1885,2,296763,anévrisme miliaire,anevrisme_miliaire,An[ée]vr[yi]sme(s)? miliaire(s)?,0,0.0
1885,2,296763,aphasie,aphasie,Aphasie(s)?,46,155.005846
1885,2,296763,arthropathie tabétique,arthropathie_tabetique,Arthropathie(s)? tabétique(s)?,0,0.0
1885,2,296763,astasie-abasie,astasie_abasie,Astasie(s)?-abasie(s)?,0,0.0
1885,2,296763,ataxie locomotrice progressive,ataxie_locomotrice_progressive,Ataxie(s)? locomotrice(s)? progressive(s)?,1,3.369692
1885,2,296763,athétose,athetose,Athétose(s)?,4,13.478769
1885,2,296763,atrophie musculaire progressive,atrophie_musculaire_progressive,Atrophie(s)? musculaire(s)? progressive(s)?,5,16.848462
1885,2,296763,bulbe rachidien,bulbe_rachidien,Bulbe(s)? rachidien(s)?,0,0.0
1885,2,296763,chorée,choree,Chorée(s)?,35,117.939231
1885,2,296763,clonus,clonus,Clonus,1,3.369692
1885,2,296763,coupe verticale,coupe_verticale,Coupe(s)? verticale(s)?,1,3.369692
1885,2,296763,fugue,fugue,Fugue(s)?,1,3.369692
1885,2,296763,glossy skin,glossy_skin,Glossy skin(s)?,0,0.0
1885,2,296763,hypnose,hypnose,Hypnose(s)?,5,16.848462
1885,2,296763,hystérie,hysterie,Hystérie(s)?,83,279.684462
1885,2,296763,localisation cérébrale,localisation_cerebrale,Localisation(s)? cérébrale(s)?,2,6.739385
1885,2,296763,maladie de Parkinson,maladie_de_parkinson,Maladie(s)?( de)? Parkinson,0,0.0
1885,2,296763,maladie de Gilles de la Tourette,maladie_de_gilles_de_la_tourette,Maladie(s)?( de)?( Gilles de la)? Tourette,0,0.0
1885,2,296763,méthode anatomo-clinique,methode_anatomo_clinique,Méthode(s)? anatomo-clinique(s)?,1,3.369692
1885,2,296763,migraine ophtalmique,migraine_ophtalmique,Migraine(s)? ophtalmique(s)?,0,0.0
1885,2,296763,pachyméningite cervicale hypertrophique,pachymeningite_cervicale_hypertrophique,Pachym[eé]ningite(s)? cervicale(s)? hypertrophique(s)?,2,6.739385
1885,2,296763,paralysie agitante,paralysie_agitante,Paralysi[es] agitan(te|s),4,13.478769
1885,2,296763,sclérose en plaques disséminées,sclerose_en_plaques_disseminees,Sclérose(s)? en plaque(s)? disséminées(s)?,1,3.369692
1885,2,296763,sclérose latérale amyotrophique,sclerose_laterale_amyotrophique,Sclérose(s)? latérale(s)? amyotrophique(s)?,36,121.308923
1885,2,296763,syndrome de Parkinson,syndrome_de_parkinson,Syndrome(s)?( de)? Parkinson,0,0.0
1885,2,296763,syndrome de Gilles de la Tourette,syndrome_de_gilles_de_la_tourette,Syndrome(s)?( de)?( Gilles de la)? Tourette,0,0.0
1885,2,296763,systématisation de la moelle,systematisation_de_la_moelle,"Syst[ée]matisation(?:\s+[\wÀ-ÖØ-öø-ÿ'-]+){0,10}\s+mo[ëeèê]lle",0,0.0
1885,2,296763,tabès dorsalis,tabes_dorsalis,Tab[eè]s dorsal(is)?,20,67.393846
1885,2,296763,tabès dorsalis spasmodique,tabes_dorsalis_spasmodique,Tab[eè]s dorsal(is)? spasmodique(s)?,5,16.848462
