date,documents,total_tokens,expression,colonne_flourish,regex,occurrences,freq_ppm
1883,1,34550,hystérie,hysterie,Hystérie(s)?,7,202.60492
1883,1,34550,localisation cérébrale,localisation_cerebrale,Localisation(s)? cérébrale(s)?,0,0.0
1883,1,34550,maladie de Parkinson,maladie_de_parkinson,Maladie(s)?( de)? Parkinson,0,0.0
1883,1,34550,maladie de Gilles de la Tourette,maladie_de_gilles_de_la_tourette,Maladie(s)?( de)?( Gilles de la)? Tourette,0,0.0
1883,1,34550,méthode anatomo-clinique,methode_anatomo_clinique,Méthode(s)? anatomo-clinique(s)?,0,0.0
1883,1,34550,migraine ophtalmique,migraine_ophtalmique,Migraine(s)? ophtalmique(s)?,0,0.0
1883,1,34550,pachyméningite cervicale hypertrophique,pachymeningite_cervicale_hypertrophique,Pachym[eé]ningite(s)? cervicale(s)? hypertrophique(s)?,0,0.0
1883,1,34550,paralysie agitante,paralysie_agitante,Paralysi[es] agitan(te|s),0,0.0
1883,1,34550,sclérose en plaques disséminées,sclerose_en_plaques_disseminees,Sclérose(s)? en plaque(s)? disséminées(s)?,0,0.0
1883,1,34550,sclérose latérale amyotrophique,sclerose_laterale_amyotrophique,Sclérose(s)? latérale(s)? amyotrophique(s)?,0,0.0
1883,1,34550,syndrome de Parkinson,syndrome_de_parkinson,Syndrome(s)?( de)? Parkinson,0,0.0
1883,1,34550,syndrome de Gilles de la Tourette,syndrome_de_gilles_de_la_tourette,Syndrome(s)?( de)?( Gilles de la)? Tourette,0,0.0
1883,1,34550,systématisation de la moelle,systematisation_de_la_moelle,"Syst[ée]matisation(?:\s+[\wÀ-ÖØ-öø-ÿ'-]+){0,10}\s+mo[ëeèê]lle",0,0.0
1883,1,34550,tabès dorsalis,tabes_dorsalis,Tab[eè]s dorsal(is)?,0,0.0
1883,1,34550,tabès dorsalis spasmodique,tabes_dorsalis_spasmodique,Tab[eè]s dorsal(is)? spasmodique(s)?,0,0.0
1883,1,34550,thrombose de l'artère cérébrale postérieure,thrombose_de_l_artere_cerebrale_posterieure,"Thrombose\s+(?:de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale(?:\s+post(?:é|e)rieure)?|de\s+la\s+c(?:é|e)rébrale\s+post(?:é|e)rieure|(?:[\wÀ-ÖØ-öø-ÿ]+(?:[-’'][\wÀ-ÖØ-öø-ÿ]+)?\s+){1,6}de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale\s+post(?:é|e)rieure)",0,0.0
1883,1,34550,tic convulsif,tic_convulsif,Tic(s)? convulsif(s)?,0,0.0
1883,1,34550,tremblement,tremblement,Tremblement(s)?,7,202.60492
1884,1,56314,épilepsie,epilepsie,[EÉ]pilepsie(s)?,35,621.515076
1884,1,56314,anévrisme miliaire,anevrisme_miliaire,An[ée]vr[yi]sme(s)? miliaire(s)?,0,0.0
1884,1,56314,aphasie,aphasie,Aphasie(s)?,2,35.515147
1884,1,56314,arthropathie tabétique,arthropathie_tabetique,Arthropathie(s)? tabétique(s)?,0,0.0
1884,1,56314,astasie-abasie,astasie_abasie,Astasie(s)?-abasie(s)?,0,0.0
1884,1,56314,ataxie locomotrice progressive,ataxie_locomotrice_progressive,Ataxie(s)? locomotrice(s)? progressive(s)?,0,0.0
1884,1,56314,athétose,athetose,Athétose(s)?,0,0.0
1884,1,56314,atrophie musculaire progressive,atrophie_musculaire_progressive,Atrophie(s)? musculaire(s)? progressive(s)?,0,0.0
1884,1,56314,bulbe rachidien,bulbe_rachidien,Bulbe(s)? rachidien(s)?,0,0.0
1884,1,56314,chorée,choree,Chorée(s)?,0,0.0
1884,1,56314,clonus,clonus,Clonus,0,0.0
1884,1,56314,coupe verticale,coupe_verticale,Coupe(s)? verticale(s)?,0,0.0
1884,1,56314,fugue,fugue,Fugue(s)?,0,0.0
1884,1,56314,glossy skin,glossy_skin,Glossy skin(s)?,0,0.0
1884,1,56314,hypnose,hypnose,Hypnose(s)?,0,0.0
1884,1,56314,hystérie,hysterie,Hystérie(s)?,16,284.121178
1884,1,56314,localisation cérébrale,localisation_cerebrale,Localisation(s)? cérébrale(s)?,0,0.0
1884,1,56314,maladie de Parkinson,maladie_de_parkinson,Maladie(s)?( de)? Parkinson,0,0.0
1884,1,56314,maladie de Gilles de la Tourette,maladie_de_gilles_de_la_tourette,Maladie(s)?( de)?( Gilles de la)? Tourette,0,0.0
1884,1,56314,méthode anatomo-clinique,methode_anatomo_clinique,Méthode(s)? anatomo-clinique(s)?,0,0.0
1884,1,56314,migraine ophtalmique,migraine_ophtalmique,Migraine(s)? ophtalmique(s)?,0,0.0
1884,1,56314,pachyméningite cervicale hypertrophique,pachymeningite_cervicale_hypertrophique,Pachym[eé]ningite(s)? cervicale(s)? hypertrophique(s)?,0,0.0
1884,1,56314,paralysie agitante,paralysie_agitante,Paralysi[es] agitan(te|s),0,0.0
1884,1,56314,sclérose en plaques disséminées,sclerose_en_plaques_disseminees,Sclérose(s)? en plaque(s)? disséminées(s)?,0,0.0
1884,1,56314,sclérose latérale amyotrophique,sclerose_laterale_amyotrophique,Sclérose(s)? latérale(s)? amyotrophique(s)?,0,0.0
1884,1,56314,syndrome de Parkinson,syndrome_de_parkinson,Syndrome(s)?( de)? Parkinson,0,0.0
1884,1,56314,syndrome de Gilles de la Tourette,syndrome_de_gilles_de_la_tourette,Syndrome(s)?( de)?( Gilles de la)? Tourette,0,0.0
1884,1,56314,systématisation de la moelle,systematisation_de_la_moelle,"Syst[ée]matisation(?:\s+[\wÀ-ÖØ-öø-ÿ'-]+){0,10}\s+mo[ëeèê]lle",0,0.0
1884,1,56314,tabès dorsalis,tabes_dorsalis,Tab[eè]s dorsal(is)?,0,0.0
1884,1,56314,tabès dorsalis spasmodique,tabes_dorsalis_spasmodique,Tab[eè]s dorsal(is)? spasmodique(s)?,0,0.0
1884,1,56314,thrombose de l'artère cérébrale postérieure,thrombose_de_l_artere_cerebrale_posterieure,"Thrombose\s+(?:de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale(?:\s+post(?:é|e)rieure)?|de\s+la\s+c(?:é|e)rébrale\s+post(?:é|e)rieure|(?:[\wÀ-ÖØ-öø-ÿ]+(?:[-’'][\wÀ-ÖØ-öø-ÿ]+)?\s+){1,6}de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale\s+post(?:é|e)rieure)",0,0.0
1884,1,56314,tic convulsif,tic_convulsif,Tic(s)? convulsif(s)?,0,0.0
1884,1,56314,tremblement,tremblement,Tremblement(s)?,0,0.0
1885,1,70934,épilepsie,epilepsie,[EÉ]pilepsie(s)?,123,1734.006259
1885,1,70934,anévrisme miliaire,anevrisme_miliaire,An[ée]vr[yi]sme(s)? miliaire(s)?,0,0.0
1885,1,70934,aphasie,aphasie,Aphasie(s)?,0,0.0
1885,1,70934,arthropathie tabétique,arthropathie_tabetique,Arthropathie(s)? tabétique(s)?,0,0.0
1885,1,70934,astasie-abasie,astasie_abasie,Astasie(s)?-abasie(s)?,0,0.0
1885,1,70934,ataxie locomotrice progressive,ataxie_locomotrice_progressive,Ataxie(s)? locomotrice(s)? progressive(s)?,0,0.0
1885,1,70934,athétose,athetose,Athétose(s)?,1,14.097612
1885,1,70934,atrophie musculaire progressive,atrophie_musculaire_progressive,Atrophie(s)? musculaire(s)? progressive(s)?,0,0.0
1885,1,70934,bulbe rachidien,bulbe_rachidien,Bulbe(s)? rachidien(s)?,0,0.0
1885,1,70934,chorée,choree,Chorée(s)?,0,0.0
1885,1,70934,clonus,clonus,Clonus,0,0.0
1885,1,70934,coupe verticale,coupe_verticale,Coupe(s)? verticale(s)?,1,14.097612
1885,1,70934,fugue,fugue,Fugue(s)?,3,42.292836
1885,1,70934,glossy skin,glossy_skin,Glossy skin(s)?,0,0.0
1885,1,70934,hypnose,hypnose,Hypnose(s)?,0,0.0
1885,1,70934,hystérie,hysterie,Hystérie(s)?,3,42.292836
1885,1,70934,localisation cérébrale,localisation_cerebrale,Localisation(s)? cérébrale(s)?,0,0.0
1885,1,70934,maladie de Parkinson,maladie_de_parkinson,Maladie(s)?( de)? Parkinson,0,0.0
1885,1,70934,maladie de Gilles de la Tourette,maladie_de_gilles_de_la_tourette,Maladie(s)?( de)?( Gilles de la)? Tourette,0,0.0
1885,1,70934,méthode anatomo-clinique,methode_anatomo_clinique,Méthode(s)? anatomo-clinique(s)?,0,0.0
1885,1,70934,migraine ophtalmique,migraine_ophtalmique,Migraine(s)? ophtalmique(s)?,0,0.0
1885,1,70934,pachyméningite cervicale hypertrophique,pachymeningite_cervicale_hypertrophique,Pachym[eé]ningite(s)? cervicale(s)? hypertrophique(s)?,0,0.0
1885,1,70934,paralysie agitante,paralysie_agitante,Paralysi[es] agitan(te|s),0,0.0
1885,1,70934,sclérose en plaques disséminées,sclerose_en_plaques_disseminees,Sclérose(s)? en plaque(s)? disséminées(s)?,0,0.0
1885,1,70934,sclérose latérale amyotrophique,sclerose_laterale_amyotrophique,Sclérose(s)? latérale(s)? amyotrophique(s)?,0,0.0
1885,1,70934,syndrome de Parkinson,syndrome_de_parkinson,Syndrome(s)?( de)? Parkinson,0,0.0
1885,1,70934,syndrome de Gilles de la Tourette,syndrome_de_gilles_de_la_tourette,Syndrome(s)?( de)?( Gilles de la)? Tourette,0,0.0
1885,1,70934,systématisation de la moelle,systematisation_de_la_moelle,"Syst[ée]matisation(?:\s+[\wÀ-ÖØ-öø-ÿ'-]+){0,10}\s+mo[ëeèê]lle",0,0.0
1885,1,70934,tabès dorsalis,tabes_dorsalis,Tab[eè]s dorsal(is)?,0,0.0
1885,1,70934,tabès dorsalis spasmodique,tabes_dorsalis_spasmodique,Tab[eè]s dorsal(is)? spasmodique(s)?,0,0.0
1885,1,70934,thrombose de l'artère cérébrale postérieure,thrombose_de_l_artere_cerebrale_posterieure,"Thrombose\s+(?:de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale(?:\s+post(?:é|e)rieure)?|de\s+la\s+c(?:é|e)rébrale\s+post(?:é|e)rieure|(?:[\wÀ-ÖØ-öø-ÿ]+(?:[-’'][\wÀ-ÖØ-öø-ÿ]+)?\s+){1,6}de\s+l[’']?art(?:e|è)re\s+c(?:é|e)rébrale\s+post(?:é|e)rieure)",0,0.0
1885,1,70934,tic convulsif,tic_convulsif,Tic(s)? convulsif(s)?,0,0.0
1885,1,70934,tremblement,tremblement,Tremblement(s)?,1,14.097612
1886,3,78236,épilepsie,epilepsie,[EÉ]pilepsie(s)?,15,191.727593
1886,3,78236,anévrisme miliaire,anevrisme_miliaire,An[ée]vr[yi]sme(s)? miliaire(s)?,0,0.0
1886,3,78236,aphasie,aphasie,Aphasie(s)?,0,0.0
1886,3,78236,arthropathie tabétique,arthropathie_tabetique,Arthropathie(s)? tabétique(s)?,0,0.0
1886,3,78236,astasie-abasie,astasie_abasie,Astasie(s)?-abasie(s)?,0,0.0
1886,3,78236,ataxie locomotrice progressive,ataxie_locomotrice_progressive,Ataxie(s)? locomotrice(s)? progressive(s)?,0,0.0
1886,3,78236,athétose,athetose,Athétose(s)?,0,0.0
1886,3,78236,atrophie musculaire progressive,atrophie_musculaire_progressive,Atrophie(s)? musculaire(s)? progressive(s)?,0,0.0
1886,3,78236,bulbe rachidien,bulbe_rachidien,Bulbe(s)? rachidien(s)?,14,178.945754
